시장명,시장유형,시장개설주기,취급품목,지역,상호명,업종대분류,업종중분류,업종소분류,도로명주소,거리(m),상가업소번호,경도,위도
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,가야뜰,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 여수시 진남로 6-1,122.8,MA010120220807906813,127.72874657699,34.7428861721471
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,가을커피숍,음식,비알코올 ,카페,전라남도 여수시 좌수영로 12-1,64.4,MA010120220804773497,127.728089284759,34.7414027999176
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,갑순이네,소매,식료품 소매,반찬/식료품 소매업,전라남도 여수시 서교4길 2,40.3,MA010120220804922927,127.728297935944,34.7415367618107
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,거북선통닭,소매,식료품 소매,정육점,전라남도 여수시 서교6길 10-1,55.3,MA010120220803537310,127.729078267744,34.7421089864811
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,건강의료기,소매,의약·화장품 소매,의료기기 소매업,전라남도 여수시 좌수영로 28,114.2,MA010120220807920697,127.72834168943,34.7427894406308
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,경기상회,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 여수시 서교4길 9-5,39.2,MA010120220807909871,127.729030948246,34.7416946275772
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,경산장의,수리·개인,장례식장 ,장례식장,전라남도 여수시 좌수영로 16-6,0.0,MA010120220809638904,127.728616808846,34.7417872454761
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,경화찻집,음식,비알코올 ,카페,전라남도 여수시 서교4길 10-3,46.1,MA010120220812427465,127.728941615131,34.7414698132679
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,고은패션,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 여수시 좌수영로 16-6,0.0,MA010120220807913350,127.728616808846,34.7417872454761
(주)서시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,공한약국,소매,의약·화장품 소매,약국,전라남도 여수시 충무5길 14,113.0,MA010120220807910778,127.729723694319,34.7422403304289
